split,pair_id,classification,first_row_index,second_row_index,first_review_id,second_review_id,hamming_distance,length_ratio,character_trigram_jaccard,sequence_ratio,has_label_conflict,has_mixed_missing_labels,first_preview,second_preview,conflicting_label_columns,mixed_missing_label_columns
train,baa4f8f55892b55869936d71b34daf2ea23796b598553f0d5d3e947fc6eb14a8,high_confidence,45502,53432,45503,53433,0,1.0,0.9852216748768473,0.9955357142857143,False,False,"Chất liệu cotton tàm tạm, không quá mềm mịn. Kiểu dáng cơ bản mặc ở nhà hợp lý. Tay áo hơi dài một chút nhưng xắn lên vẫn ổn. Giá cả ở mức trung bình, tiền n...","Chất liệu cotton tàm tạm, không quá mềm mịn, kiểu dáng cơ bản mặc ở nhà hợp lý. Tay áo hơi dài một chút nhưng xắn lên vẫn ổn. Giá cả ở mức trung bình, tiền n...",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,1410,57909,1411,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,12029,57909,12030,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,13656,57909,13657,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,17570,57909,17571,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,30535,57909,30536,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,35087,57909,35088,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,37318,57909,37319,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,True,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,Dịch vụ
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,47493,57909,47494,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
train,484dfc822a0dfa9cd7289045f974e8b455f762f469d95b0aeb92c722334678ca,high_confidence,56766,57909,56767,57910,3,0.9647887323943662,0.9767441860465116,0.982078853046595,False,False,"Đặt size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.","Đặt đúng size L mà mặc hơi rộng đùi một xíu, tạm chấp nhận được. Giá mức trung bình, tiền nào của nấy. Giao hàng đúng hạn, shipper thân thiện.",,
