split,cluster_id,member_count,edge_count,minimum_character_trigram_jaccard,minimum_sequence_ratio,has_label_conflict,has_mixed_missing_labels,representative_preview,member_ids,conflicting_label_columns,mixed_missing_label_columns
train,05bbc43d178837bbdad3e9aa19882efa059d4c9f6b2ffe8fdffc3cc4d22aed1f,43,269,0.7233009708737864,0.8397291196388262,True,False,"Chất liệu cotton tàm tạm, kiểu dáng cơ bản mặc ở nhà khá hợp lý. Tay áo hơi dài một chút nhưng vẫn chấp nhận được. Giá cả ở mức trung bình, đúng là tiền nào ...",578|1040|1172|2346|6674|6827|8088|12496|19696|21902|22084|22597|24812|25813|26103|27967|28366|34604|35847|37483|37699|42041|42044|44756|45503|45995|47098|49082|50691|51769|51864|53433|63217|66541|72410|75050|81582|81733|83210|84777|86066|87045|88857,Dịch vụ,
train,ad6a658bb85578ea0b9c91f258e1aa1840c02fc7739d8eebc23cd1caae133afc,39,114,0.7203791469194313,0.8472906403940886,True,False,"Chất vải nỉ sờ vào bình thường, không quá dày dặn. Quần may rất chuẩn, mình mặc vừa in không cần sửa. Tuy nhiên mức giá này thực sự hơi chát, cộng thêm việc ...",399|1105|1486|3035|5810|12065|12662|18147|21877|28830|29655|30719|31292|33221|34258|35128|37724|39242|45351|50185|51861|52235|53182|53327|53544|57694|57724|57768|60439|61200|63450|64793|66544|70094|70146|76222|84593|87805|87973,Kiểu dáng|Dịch vụ,
train,bb1e092df77fb0e68e5dccfcdd9dc31bda6e58238d06feb8017edb8f4ff795a6,4,3,0.7878787878787878,0.8970588235294118,True,False,"Chất lượng sản phẩm tuyệt vời lắm, giao hàng nhanh, đóng gói cẩn thận nhé.",16631|36594|65823|72189,Kiểu dáng,
train,664af361c8515b6878d27d1abf9f1a1dbf132e78f0d6516b6deea25277dbd58d,3,2,0.7548076923076923,0.8672566371681416,True,False,"Sản phẩm tuyệt vời, đúng với mô tả. Giao hàng nhanh chóng, shipper thân thiện dễ mến. Đóng gói cẩn thận, không bị móp méo, vận chuyển rất tốt. Thời gian giao...",3579|14017|31578,Kiểu dáng,
train,0968bd45d7e7b75bb3fe73140988d998a314b4b11320365045fdf86546075db9,2,1,0.8064516129032258,0.9666666666666667,True,False,đầm đẹp rất vừa sẽ ủng hộ shop,9818|85739,Kích cỡ,
train,1680cce4d528f51690a0dde2f8067704092da868f9928fbb2460b74c3e8fd36a,2,1,0.8062015503875969,0.9134948096885813,True,False,sản phẩm đúng như mô tả trên gian hàng. đóng gói cẩn thận. giá tốt. giao hàng nhanh. sẽ tiếp tục ủng hộ cửa hàng cho những sản phẩm khác,29160|44123,Dịch vụ,
train,1e5fe985c07ab1c9ae51ee74027cd8669d9e9cd19bf0559748487cae98a207c9,2,1,0.9298245614035088,0.9661016949152542,True,False,"Giao hàng nhanh, chất lượng sản phẩm phù hợp với giá tiền ạ!",22511|58296,Chất liệu|Giá cả,
train,2a7d1c9069972536d879ba26337bc3ac93fa6de79800588b761357b32b497940,2,1,0.934010152284264,0.9724770642201835,True,False,"Quần thiết kế đẹp, form chuẩn, mặc lên rất gọn gàng và tôn dáng. Chất vải dày dặn nhưng vẫn thoải mái, không bị bí. Đường may chắc chắn, tinh tế. Màu sắc thờ...",11704|26929,Kích cỡ,
train,3e8893515096c3343bc4768eb38314784a07f15dc679e61863bb3535f971f444,2,1,0.7272727272727273,0.8784530386740331,True,False,"Vải này mặc hè cũng tạm được, không quá nóng. Kiểu dáng đơn giản, dễ phối đồ. Kích cỡ hơi rộng so với bảng size nhưng chấp nhận được. Giá cả ở mức trung bình...",7431|13700,Chất liệu,
train,4c810472544746661ef3efbd082ddf8ec54f68c7873eeda50629d2f75039ff5b,2,1,0.7794117647058824,0.9172932330827067,True,False,"Sản phẩm chất lượng, giao hàng nhanh, đóng gói cẩn thận và chắc chắn.",32909|41697,Kiểu dáng,
